1	Afghanistan	2019	63.3	63.2	15.4	15.1	54.7	53.2
2	Afghanistan	2015	61	62.3	15.7	15.5	52.8	52.4
3	Afghanistan	2010	59.6	60.3	15.1	15.2	51.5	50.7
4	Afghanistan	2000	54.6	55.4	13.6	14.2	46.9	46.6
5	Albania	2019	76.3	79.9	20.2	21.9	68	70.3
6	Albania	2015	76.1	79.7	20.1	22.2	68	70.1
7	Albania	2010	74.2	78.3	19.9	22.6	66.3	68.9
8	Albania	2000	70.7	76.9	17.1	21.2	63.1	67.7
9	Algeria	2019	76.2	78.1	21.5	22.6	66.7	66.1
10	Algeria	2015	75.6	77.5	21.3	22.3	66.3	65.7
11	Algeria	2010	75	76.8	20.9	21.9	65.9	65.2
12	Algeria	2000	70.9	73.5	19.4	20.3	62.6	62.8
13	Angola	2019	60.7	65.5	15.4	18.6	53.6	56.2
14	Angola	2015	59.1	64.5	15	18.4	52.2	55.3
15	Angola	2010	55.8	60.5	14.4	17.5	49.3	52
16	Angola	2000	46.8	52.1	12.8	16	41.2	44.7
17	Antigua and Barbuda	2019	74.9	78	19.8	21.3	66.2	67.7
18	Antigua and Barbuda	2015	74.4	77.8	19.6	21.2	65.9	67.7
19	Antigua and Barbuda	2010	73.6	78.2	19.1	21.8	65.3	68.1
20	Antigua and Barbuda	2000	72	77	19.1	21.3	63.9	67
21	Argentina	2019	73.5	79.5	18.8	23.1	65.4	68.8
22	Argentina	2015	72.9	79.3	18.6	23	64.9	68.7
23	Argentina	2010	72.1	78.6	18.3	22.7	64.4	68.2
24	Argentina	2000	70.3	77.8	17.6	22.5	62.8	67.5
25	Armenia	2019	72.5	79.2	18.2	22.1	64.9	69.1
26	Armenia	2015	70.9	77.8	17.3	21.2	63.7	68.1
27	Armenia	2010	69.4	76.6	16.8	20.5	62.4	67.2
28	Armenia	2000	68.6	74.9	17.1	20.2	61.2	65.6
29	Australia	2019	81.3	84.8	24.4	26.8	70.2	71.7
30	Australia	2015	80.4	84.2	23.7	26.3	69.7	71.4
31	Australia	2010	79.8	84	23.3	26.1	69.2	71.2
32	Australia	2000	77.1	82.2	21.2	24.9	67.2	70
33	Austria	2019	79.4	83.8	22.4	25.6	69.9	71.9
34	Austria	2015	78.6	83.3	21.8	25.2	69.2	71.6
35	Austria	2010	77.6	83	21.4	25.2	68.3	71.4
36	Austria	2000	75.1	81	19.7	23.7	66.3	69.8
37	Azerbaijan	2019	68.8	74.1	15.6	18.3	62.1	65.2
38	Azerbaijan	2015	67.9	73.4	15.1	17.9	61.5	64.7
39	Azerbaijan	2010	66.3	71.8	15	17.6	60.1	63.4
40	Azerbaijan	2000	62.6	68.5	15.1	17.9	56.6	60.4
41	Bahamas	2019	69.9	76.6	19.1	22.4	62.3	66.5
42	Bahamas	2015	69.7	76.1	19.3	22.3	62.2	66.2
43	Bahamas	2010	69.6	76.3	19	22.2	62.2	66.4
44	Bahamas	2000	67.6	74.2	18.3	21.4	60.6	64.8
45	Bahrain	2019	75	77	18.7	19.4	66	65.5
46	Bahrain	2015	75.9	77.3	19.4	20	66.6	65.6
47	Bahrain	2010	73.8	75.3	17.4	18.3	65.3	64.3
48	Bahrain	2000	69.5	71.8	14.5	15.6	62	61.6
49	Bangladesh	2019	73	75.6	20.3	21.5	64.2	64.4
50	Bangladesh	2015	72.5	74.8	20.5	21.4	63.8	63.7
51	Bangladesh	2010	68.6	72.2	18.1	20.1	60.8	61.7
52	Bangladesh	2000	64.1	67.4	17.1	18.7	56.6	57.6
53	Barbados	2019	74.3	77.7	19.9	21.8	66.2	67.7
54	Barbados	2015	75	77.4	21	21.7	66.8	67.5
55	Barbados	2010	74.5	77.2	20.8	21.7	66.4	67.5
56	Barbados	2000	72.1	76.7	19.7	21.5	64.6	67.2
57	Belarus	2019	69.7	79.6	16	22.5	62.3	69.4
